Category,Section,Name,Location,Cuisine,Price,Season,Website,Reserve,Description
Neighborhood Spots,🏘️ Fishtown,Fishtown Tavern,"1301 Frankford Ave, Fishtown",Bar & American,$$,,https://www.fishtowntavern.com,,"Easygoing Frankford Ave neighborhood bar with American pub fare, weekend brunch, and a laid-back local crowd."
Neighborhood Spots,🏘️ Fishtown,Johnny Brenda's,"1201 Frankford Ave, Fishtown",Gastropub & Music Venue,$$,,https://www.johnnybrendas.com,https://www.johnnybrendas.com,Beloved Fishtown institution at Frankford & Girard — a gastropub with local beer and elevated bar food downstairs and a legendary live-music venue upstairs.
Neighborhood Spots,🏘️ Fishtown,Pizza Shackamaxon,"Shackamaxon St, Fishtown",Pizza,$,,,,"Neighborhood Fishtown pizza joint for a quick, no-fuss slice."
Outdoor Dining,🏙️ Rooftop Bars,Bok Bar,"1901 South 9th St, South Philly",Bar & Events,$,Seasonal · Apr–Oct,https://www.bokbar.com,,"Rooftop atop a former South Philly high school with incredible skyline views, weekly events, and a rotating chef residency. Kid-friendly before sunset, dog-friendly always. Seasonal, mid-April through October."
Outdoor Dining,🏙️ Rooftop Bars,Irwin's,"1901 South 9th St (8th Fl), South Philly",Italian,$$$,,https://www.irwinsbok.com,https://www.exploretock.com/irwins,"Eighth-floor Italian patio in the Bok Building. Book around sunset and order the gnocchi sardi, tiramisu, and plenty of Italian wine."
Outdoor Dining,🏙️ Rooftop Bars,Assembly Rooftop Lounge,1840 Benjamin Franklin Pkwy,Cocktails & Small Plates,$$$,,https://www.theloganhotel.com/eat-drink/assembly-rooftop-lounge,,"Atop the Logan Hotel with Parkway views, cocktails, and small plates. Cozy fire pits in winter, and a prime perch for July 4th fireworks and the Thanksgiving parade."
Outdoor Dining,🏙️ Rooftop Bars,Stratus Lounge,"433 Chestnut St, Old City",Cocktails & DJ,$$$,Thu–Sat only,https://www.hotelmonaco-philadelphia.com/stratus-rooftop-lounge,,"Chic, high-walled rooftop in Old City’s Hotel Monaco. A great weekend spot (Thursday–Saturday) for cocktails, small plates, and DJ sets."
Outdoor Dining,🏙️ Rooftop Bars,Sunset Social,"129 South 30th St, University City",Bar & Events,$$,,https://ciragreen.com,,"Constant lawn-party vibe on the Cira Green rooftop park. Always kid- and dog-friendly, with outdoor movies, quizzo, DJ dance parties, and yappy hours."
Outdoor Dining,🏙️ Rooftop Bars,Continental Midtown,1801 Chestnut St,American,$$$,,https://www.continentalmidtown.com,https://www.opentable.com/continental-midtown,"1960s-vibe Stephen Starr rooftop with heat lamps, occasional DJ sets, and the famous Tang-dusted Astronaut martini."
Outdoor Dining,🏙️ Rooftop Bars,El Techo,1830 Ludlow St,Mexican & Mezcal,$$$,,https://www.eltechobar.com,https://resy.com/cities/phi/el-techo,Retractable-roof rooftop above Condesa — good even in iffy weather. Mezcal margaritas and “All of the Salsas.” 21+ except Sunday brunch.
Outdoor Dining,🏙️ Rooftop Bars,Attico Rooftop & Bar,"219 South Broad St, Avenue of the Arts",Bar & Small Bites,$$,,https://www.cambriahotelphiladelphia.com/dining,,"Sixteen floors above the Avenue of the Arts at the Cambria Hotel — a plant-filled indoor-outdoor oasis with small bites, weekend brunch, and Friday/Saturday DJ sets."
Outdoor Dining,🏙️ Rooftop Bars,Balcony Bar at Kimmel Center,300 South Broad St,Bar,$$,Summer Weds only,https://www.kimmelculturalfoundation.org,,"The Kimmel Center’s second-tier balcony, open summer Wednesdays for Center City Sips. Grab a selfie with City Hall behind you and a hot dog in hand."
Outdoor Dining,🏙️ Rooftop Bars,Revolution House,"200 Market St, Old City",American Brunch & Bar,$$,,https://www.revolutionhousephilly.com,https://www.opentable.com/revolution-house,Second-floor Old City deck with a retractable roof. A sun-drenched weekend brunch is the move.
Outdoor Dining,🏙️ Rooftop Bars,Emmy Squared,632 South 5th St,Pizza & Cocktails,$$,,https://emmysquaredpizza.com,https://resy.com/cities/phi/emmy-squared-philadelphia,"Rooftop Detroit-style pizza, sandwiches, and really good drinks — a solid date spot."
Outdoor Dining,🌿 Beer Gardens & Green Spaces,PHS Pop-Up Gardens,"1438 South St & 106 Jamestown Ave, Manayunk",Beer Garden,$,Seasonal · Spring–Fall,https://phsonline.org/programs/pop-up-garden,,"The original Philly pop-up beer garden. Food, craft brews, cocktails, plant swaps, and craft workshops — plus a frozen Gritty Marg. South St location and a Manayunk “urban forest” spot with a game room."
Outdoor Dining,🌿 Beer Gardens & Green Spaces,Parks on Tap,Various City Parks,Beer Garden,$,Seasonal · Touring (27 wks),https://www.parksontap.com,,"A traveling beer garden popping up across city parks over 27 weeks. Room to roam, burgers and hot dogs, and a portion of proceeds benefits each park."
Outdoor Dining,🌿 Beer Gardens & Green Spaces,Frankie's Summer Club,355 South 15th St,Bar & Soft Serve,$$,Seasonal · Summer,https://www.frankiessummerclub.com,,"Beer garden in the courtyard of former UArts’ Furness Hall, with food and a must-try soft-serve by Irwin’s and backyard-party vibes."
Outdoor Dining,🌿 Beer Gardens & Green Spaces,Jet Wine Bar,1525 South St,Wine Bar & Tapas,$$,,https://www.jetwinebarphilly.com,https://www.opentable.com/jet-wine-bar,"A wine garden, not a beer garden — comfortable, casual, and colorful with global wines and shareable Mediterranean and Spanish bites."
Outdoor Dining,🌿 Beer Gardens & Green Spaces,Walnut Garden,"1706 Walnut St, Rittenhouse",Beer Garden & Cheesesteaks,$$,Seasonal · Spring–Dec,https://www.walnutgardenphilly.com,,"11,500-sq-ft Rittenhouse beer garden, kid- and dog-friendly, with cheesesteaks, chicken sandwiches, game-day big screens, and a mini playground."
Outdoor Dining,🌿 Beer Gardens & Green Spaces,Attic Brewing Company,"137 Berkley St, Germantown",Craft Brewery,$,,https://www.atticbrewing.com,,"Germantown brewery with a dog- and kid-friendly beer garden out back, a full schedule of food trucks, and live music and comedy."
Outdoor Dining,🌿 Beer Gardens & Green Spaces,Rodin Garden Bar,2151 Benjamin Franklin Pkwy,Bar,$,Summer Fri · thru Aug,https://www.rodinmuseum.org,,"Summer-Friday bar in the Rodin Museum’s oasis-like courtyard among eight Rodin sculptures, with live music and a food truck. Kid- and dog-friendly."
Outdoor Dining,🌿 Beer Gardens & Green Spaces,Uptown Beer Garden,"1500 JFK Blvd, Center City",Tiki Bar & Events,$$,Seasonal,https://uptownbeergarden.com,,"Center City spot across three bars with ever-changing themes — tiki in summer, spooky at Halloween, Santa’s Workshop for the holidays."
Outdoor Dining,🌿 Beer Gardens & Green Spaces,Evil Genius Beer Co.,"1727 North Front St, Fishtown",Craft Brewery,$,,https://www.evilgeniusbeer.com,,"Fishtown brewery (the “Lab”) with a delightful, colorful beer garden, whimsically named beers, and Friday off-leash Yappy Hours."
Outdoor Dining,🌿 Beer Gardens & Green Spaces,Independence Beer Garden,100 South Independence Mall W,Beer Garden & Bar Bites,$$,Seasonal,https://www.indybeergarden.com,,"20,000-sq-ft Michael Schulson space across from the Liberty Bell with a big beer list, wings, fried pickles, TVs, and outdoor games like shuffleboard and cornhole."
Outdoor Dining,🌿 Beer Gardens & Green Spaces,Frankford Hall,"1210 Frankford Ave, Fishtown",German Biergarten,$$,,https://www.frankfordhall.com,https://www.opentable.com/frankford-hall,"Year-round Fishtown German biergarten with giant soft pretzels, schnitzel, and bratwurst. The huge outdoor area stays warm with heat lamps and fire pits."
